order_id,order_date,customer_name,email_address,phone,product,qty,unit_price,discount,total,status,shipping_address,city,state,zip,year,month,revenue
2103,2024-12-31,Ronald Wilson,ronald.wilson@gmail.com,6555831603,Wireless Headphones,3,79.99,5.0,227.97,shipped,1616 Walnut Ln,San Jose,CA,95158,2024,12,239.96999999999997
24551,2024-12-31,Unknown Customer,angela.cook@aol.com,8999903968,Ring Light,4,79.99,15.0,271.97,pending,7811 Aspen Ct,Indianapolis,IN,46210,2024,12,319.96
5493,2024-12-31,Amy Lee,amy.lee@gmail.com,6447073923,Mouse Pad XL,1,24.99,15.0,21.24,refunded,1781 Walnut Ct,Denver,CO,80289,2024,12,24.99
4165,2024-12-31,Timothy Mitchell,timothy.mitchell@gmail.com,9425945881,Wireless Mouse,4,39.99,0.0,159.96,pending,9991 Main Ave,Phoenix,AZ,85038,2024,12,159.96
6037,2023-09-18,Carol Nelson,carol.nelson@yahoo.com,6786587057,Mechanical Keyboard,4,129.99,15.0,441.97,pending,5009 Birch Way,Atlanta,GA,30373,2023,9,519.96
26687,2024-12-31,Eric Robinson,eric.robinson@gmail.com,9883122904,Gaming Headset,2,89.99,5.0,170.98,pending,4415 Cedar Way,Indianapolis,IN,46247,2024,12,179.98
27332,2024-12-31,Paul Lewis,unknown@email.com,5557854271,Phone Stand,3,15.99,10.0,43.17,refunded,"""4786 Elm Ln, Apt 14""",Seattle,WA,98175,2024,12,47.97
16832,2023-09-21,Gary Hernandez,gary.hernandez@yahoo.com,2568663943,Microphone,3,199.99,20.0,479.98,cancelled,"""5115 Maple St, Apt 7""",Boston,MA,2121,2023,9,599.97
14493,2024-12-31,Michelle Moore,michelle.moore@gmail.com,2167757105,Monitor,4,299.99,0.0,1199.96,shipped,7621 Spruce Ct,Dallas,TX,75243,2024,12,1199.96
2145,2024-12-31,Brian Adams,brian.adams@hotmail.com,7049265716,Phone Stand,2,15.99,5.0,30.38,shipped,7577 Spruce Ave,Portland,OR,97232,2024,12,31.98
27943,2023-01-18,Linda Rogers,linda.rogers@outlook.com,6017708808,Ring Light,3,79.99,10.0,215.97,completed,8818 Birch Ln,Atlanta,GA,30371,2023,1,239.96999999999997
19848,2024-12-30,Richard Davis,richard.davis@outlook.com,8126425268,Laptop Stand,1,45.0,10.0,40.5,refunded,7485 Maple Ln,Miami,FL,33151,2024,12,45.0
11377,2024-12-31,Amanda Davis,amanda.davis@outlook.com,8593381713,Noise Cancelling Headphones,2,249.99,5.0,474.98,cancelled,7698 Spruce Rd,Miami,FL,33185,2024,12,499.98
9207,2024-12-31,Joseph Allen,joseph.allen@hotmail.com,8417831351,Portable Charger,1,49.99,20.0,39.99,cancelled,5928 Spruce St,Boston,MA,2159,2024,12,49.99
9634,2024-07-27,Jeffrey Stewart,jeffrey.stewart@yahoo.com,7195268764,Desk Lamp,2,34.99,20.0,55.98,completed,3561 Aspen Ln,Charlotte,NC,28280,2024,7,69.98
23597,2024-05-10,John Morris,john.morris@yahoo.com,14283381884,"Laptop Sleeve 15""",3,29.99,5.0,85.47,pending,820 Walnut Ln,Miami,FL,33127,2024,5,89.97
19396,2024-12-31,Linda Jackson,linda.jackson@hotmail.com,8332879270,Desk Lamp,3,34.99,0.0,104.97,completed,3833 Elm Way,Austin,TX,78727,2024,12,104.97
23061,2024-12-31,Melissa Brown,melissa.brown@aol.com,18984023963,Webcam,1,89.99,10.0,80.99,shipped,9790 Maple Ln,Dallas,TX,75265,2024,12,89.99
1646,2024-12-31,Richard Nguyen,richard.nguyen@outlook.com,12616617522,Blue Light Glasses,1,24.99,0.0,24.99,refunded,2751 Birch Rd,Nashville,TN,37294,2024,12,24.99
18099,2024-12-31,Brenda Cook,brenda.cook@aol.com,3016364836,Ergonomic Chair,1,349.99,15.0,297.49,pending,6244 Pine Ave,Phoenix,AZ,85090,2024,12,349.99
26926,2024-09-11,Karen Davis,karen.davis@hotmail.com,9247013098,Cable Management Kit,2,14.99,20.0,23.98,cancelled,1402 Elm Ct,Seattle,WA,98184,2024,9,29.98
3416,2024-12-31,Robert Davis,robert.davis@icloud.com,13916632869,USB Hub 7-Port,4,34.99,15.0,118.97,completed,696 Main Ln,Minneapolis,MN,55469,2024,12,139.96
21083,2024-12-31,Ruth Walker,ruth.walker@icloud.com,2725016813,Wireless Headphones,2,79.99,0.0,159.98,shipped,"""2566 Aspen Ct, Apt 18""",Las Vegas,NV,89113,2024,12,159.98
19375,2024-12-31,Joseph Perez,joseph.perez@hotmail.com,4532287981,Microphone,4,199.99,5.0,759.96,cancelled,1227 Cedar Ct,Atlanta,GA,30384,2024,12,799.96
27361,2024-12-31,George Smith,george.smith@icloud.com,2022873667,Mouse Pad XL,2,24.99,0.0,49.98,shipped,3312 Pine Ct,Atlanta,GA,30397,2024,12,49.98
3805,2023-01-10,Kevin Collins,kevin.collins@outlook.com,2266018208,Microphone,1,199.99,15.0,169.99,pending,9529 Cedar Rd,Seattle,WA,98162,2023,1,199.99
13968,2024-12-31,Nicholas Garcia,nicholas.garcia@icloud.com,8225392225,Phone Stand,3,15.99,15.0,40.77,pending,8972 Pine Way,Columbus,OH,43267,2024,12,47.97
21946,2024-12-31,Angela Wright,angela.wright@outlook.com,7169687182,Laptop Cooler,2,39.99,20.0,63.98,refunded,"""2138 Main Ct, Apt 9""",Phoenix,AZ,85050,2024,12,79.98
12739,2024-12-31,Dorothy Cook,dorothy.cook@outlook.com,5694989522,Cable Management Kit,1,14.99,15.0,12.74,completed,161 Birch Ave,Dallas,TX,75291,2024,12,14.99
17743,2024-12-31,Jeffrey Reed,jeffrey.reed@aol.com,7807413193,Monitor,2,299.99,20.0,479.98,refunded,4368 Spruce Ct,Salt Lake City,UT,84188,2024,12,599.98
10857,2023-08-11,Ashley Cook,ashley.cook@aol.com,9599028999,Phone Case,2,19.99,20.0,31.98,refunded,5185 Birch Way,Portland,OR,97272,2023,8,39.98
5852,2024-08-10,Michael Taylor,michael.taylor@aol.com,7097885118,Laptop Cooler,4,39.99,0.0,159.96,refunded,4818 Elm Blvd,Boston,MA,2121,2024,8,159.96
18341,2024-07-08,Emma Parker,emma.parker@yahoo.com,9503316730,Keyboard Wrist Rest,1,19.99,20.0,15.99,refunded,7829 Spruce Ln,Salt Lake City,UT,84170,2024,7,19.99
13230,2024-12-31,Laura Young,laura.young@outlook.com,9649749119,Keyboard Wrist Rest,1,19.99,0.0,19.99,shipped,7537 Maple St,Atlanta,GA,30338,2024,12,19.99
2622,2024-12-31,Paul Turner,paul.turner@hotmail.com,2482836483,Mouse Pad XL,1,24.99,0.0,24.99,refunded,5792 Spruce Ave,Nashville,TN,37239,2024,12,24.99
26222,2024-12-31,Ashley Miller,ashley.miller@icloud.com,7004387459,Mouse Pad XL,1,24.99,0.0,24.99,completed,6136 Birch St,Boston,MA,2120,2024,12,24.99
15201,2023-10-04,Anna Perez,unknown@email.com,4387592226,Cable Organizer,3,12.99,0.0,38.97,refunded,5472 Walnut Ln,Portland,OR,97227,2023,10,38.97
19834,2024-12-04,Ruth Carter,ruth.carter@gmail.com,6095519042,Blue Light Glasses,4,24.99,5.0,94.96,refunded,1240 Spruce St,Miami,FL,33190,2024,12,99.96
21155,2024-12-31,Susan Ramirez,susan.ramirez@icloud.com,12252397297,Wireless Headphones,4,79.99,0.0,319.96,pending,1497 Oak Ct,Charlotte,NC,28265,2024,12,319.96
11007,2024-12-31,Emma Torres,emma.torres@aol.com,8603889264,USB-C Cable,1,12.49,15.0,10.62,shipped,"""4290 Walnut Rd, Apt 11""",Portland,OR,97252,2024,12,12.49
20127,2024-12-31,Emma Davis,unknown@email.com,4298215740,Keyboard Wrist Rest,1,19.99,20.0,15.99,completed,9124 Main Way,Miami,FL,33161,2024,12,19.99
12376,2023-09-17,Unknown Customer,brenda.lee@icloud.com,15539383374,"Laptop Sleeve 15""",1,29.99,0.0,29.99,shipped,2186 Maple Dr,Salt Lake City,UT,84157,2023,9,29.99
11245,2024-12-31,Lisa Mitchell,lisa.mitchell@aol.com,,Wireless Headphones,3,79.99,0.0,239.97,cancelled,"""5425 Oak Blvd, Apt 17""",Phoenix,AZ,85072,2024,12,239.96999999999997
8064,2024-12-31,Deborah Moore,unknown@email.com,2019449682,Portable Charger,1,49.99,15.0,42.49,pending,2207 Spruce Rd,Charlotte,NC,28262,2024,12,49.99
5352,2024-12-31,Sarah Adams,sarah.adams@gmail.com,7074683096,4K Webcam,4,149.99,0.0,599.96,shipped,"""7953 Birch Ct, Apt 14""",Miami,FL,33131,2024,12,599.96
15288,2024-12-31,Jessica Martin,jessica.martin@gmail.com,6612675655,Ring Light,3,79.99,20.0,191.98,shipped,5116 Main St,Boston,MA,2196,2024,12,239.96999999999997
6740,2024-12-31,Pamela Hill,unknown@email.com,8978498813,Microphone,2,199.99,0.0,399.98,cancelled,5122 Main Dr,Portland,OR,97270,2024,12,399.98
25128,2024-12-31,Richard Williams,richard.williams@gmail.com,,Monitor Arm,2,89.99,0.0,179.98,refunded,5807 Aspen St,Atlanta,GA,30339,2024,12,179.98
16523,2024-12-31,Susan Torres,susan.torres@gmail.com,7775343998,Wireless Headphones,1,79.99,0.0,79.99,pending,"""193 Maple Way, Apt 14""",Minneapolis,MN,55419,2024,12,79.99
20366,2024-12-31,Amy King,amy.king@hotmail.com,6635139049,Laptop Cooler,1,39.99,10.0,35.99,completed,5367 Spruce Ave,Denver,CO,80212,2024,12,39.99
15228,2024-12-31,Karen Jones,karen.jones@gmail.com,3339466014,Webcam,3,89.99,20.0,215.98,shipped,1862 Spruce Way,Dallas,TX,75217,2024,12,269.96999999999997
4835,2024-12-31,Unknown Customer,carol.wilson@hotmail.com,19338019050,Portable Charger,2,49.99,0.0,99.98,shipped,"""9752 Spruce Blvd, Apt 14""",Denver,CO,80293,2024,12,99.98
19240,2024-12-31,Michelle Young,michelle.young@hotmail.com,2668371704,Streaming Mic Bundle,1,299.99,15.0,254.99,shipped,6636 Main Rd,Boston,MA,2144,2024,12,299.99
22552,2024-12-31,Kevin Williams,kevin.williams@hotmail.com,14388712201,Ergonomic Chair,4,349.99,15.0,1189.97,shipped,3421 Maple Ct,Portland,OR,97226,2024,12,1399.96
15426,2024-12-31,Karen Martin,karen.martin@gmail.com,19345242050,Keyboard Wrist Rest,1,19.99,15.0,16.99,cancelled,5943 Elm Ave,Portland,OR,97216,2024,12,19.99
20625,2024-12-31,David Jackson,david.jackson@outlook.com,3584893743,Laptop Stand,2,45.0,0.0,90.0,cancelled,5190 Pine Rd,Atlanta,GA,30371,2024,12,90.0
24383,2024-12-31,Gary Thomas,gary.thomas@icloud.com,5827338934,Wireless Headphones,2,79.99,5.0,151.98,shipped,5408 Oak Blvd,Salt Lake City,UT,84179,2024,12,159.98
25573,2024-12-31,Gary Robinson,gary.robinson@gmail.com,19594287828,Monitor Arm,4,89.99,0.0,359.96,refunded,9068 Walnut Dr,San Diego,CA,92128,2024,12,359.96
19425,2024-12-31,Mark Davis,mark.davis@hotmail.com,8634196782,Monitor,3,299.99,10.0,809.97,completed,"""6419 Birch Way, Apt 3""",Seattle,WA,98150,2024,12,899.97
12008,2024-12-31,Linda Nelson,unknown@email.com,12388473421,Portable Charger,3,49.99,5.0,142.47,shipped,"""7526 Maple Blvd, Apt 1""",Denver,CO,80267,2024,12,149.97
26333,2023-09-11,Brian Miller,brian.miller@hotmail.com,9834989282,Gaming Headset,3,89.99,5.0,256.47,shipped,1385 Maple St,Chicago,IL,60664,2023,9,269.96999999999997
9403,2024-12-31,Linda Young,linda.young@yahoo.com,3493967349,USB-C Cable,1,12.49,0.0,12.49,completed,2975 Main Ct,Minneapolis,MN,55446,2024,12,12.49
7564,2024-12-31,Patricia Turner,patricia.turner@gmail.com,3024084205,Monitor Arm,3,89.99,0.0,269.97,refunded,8131 Cedar Ct,Seattle,WA,98183,2024,12,269.96999999999997
12785,2024-12-31,Mark Torres,mark.torres@hotmail.com,2447176343,Keyboard Wrist Rest,2,19.99,10.0,35.98,cancelled,2844 Cedar Ct,Nashville,TN,37224,2024,12,39.98
3954,2024-12-31,William White,william.white@yahoo.com,2203966176,Wireless Headphones,3,79.99,20.0,191.98,shipped,4319 Main Ave,Austin,TX,78767,2024,12,239.96999999999997
14717,2024-12-31,Jennifer Robinson,jennifer.robinson@hotmail.com,,Microphone,4,199.99,5.0,759.96,pending,1053 Walnut Ave,Las Vegas,NV,89160,2024,12,799.96
1269,2024-12-31,Melissa Lewis,melissa.lewis@outlook.com,4904104818,Wireless Mouse,1,39.99,10.0,35.99,completed,9985 Walnut St,Nashville,TN,37233,2024,12,39.99
7549,2024-12-31,Jessica Baker,jessica.baker@aol.com,6994524315,Standing Desk,3,599.99,5.0,1709.97,completed,1113 Spruce Ct,Denver,CO,80253,2024,12,1799.97
12558,2024-12-31,Michelle Martin,michelle.martin@yahoo.com,7749321413,Wireless Headphones,4,79.99,0.0,319.96,cancelled,8832 Cedar Blvd,Dallas,TX,75225,2024,12,319.96
22058,2024-12-31,Eric Smith,eric.smith@aol.com,5455287296,Keyboard Wrist Rest,3,19.99,10.0,53.97,shipped,5265 Cedar Dr,Charlotte,NC,28285,2024,12,59.97
7482,2024-12-31,Jacob Martinez,jacob.martinez@yahoo.com,16633247565,Blue Light Glasses,1,24.99,20.0,19.99,shipped,8099 Elm St,Nashville,TN,37272,2024,12,24.99
14267,2024-12-31,Jonathan Nguyen,jonathan.nguyen@gmail.com,5406537068,Laptop Cooler,3,39.99,20.0,95.98,pending,"""6012 Birch Blvd, Apt 18""",Miami,FL,33195,2024,12,119.97
14502,2024-12-31,Unknown Customer,melissa.nelson@yahoo.com,7808597343,Wireless Headphones,3,79.99,20.0,191.98,shipped,"""6187 Pine Blvd, Apt 8""",Denver,CO,80217,2024,12,239.96999999999997
19514,2024-02-09,Patricia Martinez,patricia.martinez@yahoo.com,4444445247,Mouse Pad XL,4,24.99,15.0,84.97,cancelled,4135 Cedar Ct,Philadelphia,PA,19119,2024,2,99.96
26595,2024-12-31,Anna Martin,anna.martin@gmail.com,12577295195,USB Hub 7-Port,4,34.99,0.0,139.96,cancelled,3761 Elm Ave,Indianapolis,IN,46222,2024,12,139.96
3115,2024-12-31,Ashley Torres,ashley.torres@outlook.com,4976425403,Webcam,3,89.99,5.0,256.47,cancelled,3520 Walnut St,Miami,FL,33140,2024,12,269.96999999999997
5118,2024-12-31,Paul Evans,paul.evans@hotmail.com,17432502678,Blue Light Glasses,3,24.99,10.0,67.47,shipped,7182 Pine St,Chicago,IL,60621,2024,12,74.97
23668,2024-12-31,Unknown Customer,brenda.thompson@icloud.com,Unknown,"Laptop Sleeve 15""",2,29.99,15.0,50.98,completed,4053 Spruce St,Columbus,OH,43248,2024,12,59.98
22808,2024-12-31,Ruth Nguyen,ruth.nguyen@aol.com,4488425740,Wireless Headphones,2,79.99,5.0,151.98,cancelled,5742 Aspen Ln,Miami,FL,33197,2024,12,159.98
1660,2024-12-31,Susan King,susan.king@icloud.com,6359028837,Webcam,1,89.99,0.0,89.99,refunded,3809 Walnut St,Salt Lake City,UT,84122,2024,12,89.99
